R,G,B,RGB,Closest Color,Closest RGB,Distance,Original Words,New Words
150,200,150,"(150, 200, 150)",grey,"(170, 170, 170)",41.2,"lose, respectful, apposite, effective, precary, cover","misplace, mislay, turn a loss, fall back, drop off, reverential, venerating, apt, pertinent, effectual"
150,200,200,"(150, 200, 200)",grey,"(170, 170, 170)",46.9,"lose, respectful, apposite, effective, precary, cover","misplace, mislay, turn a loss, fall back, drop off, reverential, venerating, apt, pertinent, effectual"
150,200,250,"(150, 200, 250)",grey,"(170, 170, 170)",87.7,"lose, respectful, apposite, effective, precary, cover","misplace, mislay, turn a loss, fall back, drop off, reverential, venerating, apt, pertinent, effectual"
150,250,0,"(150, 250, 0)",yellow,"(255, 255, 0)",105.1,"structure, plausible, redressible, authority, array, exhilerating","construction, anatomical structure, complex body part, bodily structure, body structure, authorization, authorisation, potency, dominance, say-so"
150,250,50,"(150, 250, 50)",yellow,"(255, 255, 0)",116.4,"structure, plausible, redressible, authority, array, exhilerating","construction, anatomical structure, complex body part, bodily structure, body structure, authorization, authorisation, potency, dominance, say-so"
150,250,100,"(150, 250, 100)",grey,"(170, 170, 170)",108.2,"lose, respectful, apposite, effective, precary, cover","misplace, mislay, turn a loss, fall back, drop off, reverential, venerating, apt, pertinent, effectual"
150,250,150,"(150, 250, 150)",grey,"(170, 170, 170)",84.9,"lose, respectful, apposite, effective, precary, cover","misplace, mislay, turn a loss, fall back, drop off, reverential, venerating, apt, pertinent, effectual"
150,250,200,"(150, 250, 200)",grey,"(170, 170, 170)",87.7,"lose, respectful, apposite, effective, precary, cover","misplace, mislay, turn a loss, fall back, drop off, reverential, venerating, apt, pertinent, effectual"
150,250,250,"(150, 250, 250)",white,"(255, 255, 255)",105.2,"unlavish, hope, analeptical, block","promise, bob hope, leslie townes hope, trust, desire, city block, cube, mental block, pulley, pulley-block"
200,0,0,"(200, 0, 0)",brown,"(180, 50, 0)",53.9,"and, shrink, abundantly, learn, notable, unique, submissive","psychiatrist, head-shrinker, shrivel, shrivel up, wither, copiously, profusely, extravagantly, larn, acquire"
200,0,50,"(200, 0, 50)",pink,"(250, 0, 90)",64.0,"and, place, ambitious, exquisite, incredibily, category","topographic point, spot, property, stead, position, challenging, keen, recherche, dainty, class"
200,0,100,"(200, 0, 100)",pink,"(250, 0, 90)",51.0,"and, place, ambitious, exquisite, incredibily, category","topographic point, spot, property, stead, position, challenging, keen, recherche, dainty, class"
200,0,150,"(200, 0, 150)",pink,"(250, 0, 90)",78.1,"and, place, ambitious, exquisite, incredibily, category","topographic point, spot, property, stead, position, challenging, keen, recherche, dainty, class"
200,0,200,"(200, 0, 200)",purple,"(180, 50, 255)",77.0,"imaginative, great, gifted, perfectly, free, cheer, brave","inventive, outstanding, bang-up, bully, corking, cracking, endow, indue, gift, empower"
200,0,250,"(200, 0, 250)",purple,"(180, 50, 255)",54.1,"imaginative, great, gifted, perfectly, free, cheer, brave","inventive, outstanding, bang-up, bully, corking, cracking, endow, indue, gift, empower"
200,50,0,"(200, 50, 0)",brown,"(180, 50, 0)",20.0,"and, shrink, abundantly, learn, notable, unique, submissive","psychiatrist, head-shrinker, shrivel, shrivel up, wither, copiously, profusely, extravagantly, larn, acquire"
200,50,50,"(200, 50, 50)",brown,"(180, 50, 0)",53.9,"and, shrink, abundantly, learn, notable, unique, submissive","psychiatrist, head-shrinker, shrivel, shrivel up, wither, copiously, profusely, extravagantly, larn, acquire"
200,50,100,"(200, 50, 100)",pink,"(250, 0, 90)",71.4,"and, place, ambitious, exquisite, incredibily, category","topographic point, spot, property, stead, position, challenging, keen, recherche, dainty, class"
200,50,150,"(200, 50, 150)",pink,"(250, 0, 90)",92.7,"and, place, ambitious, exquisite, incredibily, category","topographic point, spot, property, stead, position, challenging, keen, recherche, dainty, class"
200,50,200,"(200, 50, 200)",purple,"(180, 50, 255)",58.5,"imaginative, great, gifted, perfectly, free, cheer, brave","inventive, outstanding, bang-up, bully, corking, cracking, endow, indue, gift, empower"
200,50,250,"(200, 50, 250)",purple,"(180, 50, 255)",20.6,"imaginative, great, gifted, perfectly, free, cheer, brave","inventive, outstanding, bang-up, bully, corking, cracking, endow, indue, gift, empower"
200,100,0,"(200, 100, 0)",orange,"(250, 110, 0)",51.0,"hit, blurry, awesome, drop, artesian","hitting, striking, smash, smasher, strike, bleary, blurred, foggy, fuzzy, hazy"
200,100,50,"(200, 100, 50)",orange,"(250, 110, 0)",71.4,"hit, blurry, awesome, drop, artesian","hitting, striking, smash, smasher, strike, bleary, blurred, foggy, fuzzy, hazy"
200,100,100,"(200, 100, 100)",nude,"(250, 180, 120)",96.4,"deft, unextenuable, satisfied, felicitously, approach, jump","dexterous, dextrous, satisfy, fulfill, fulfil, live up to, gratify, attack, plan of attack, approaching"
200,100,150,"(200, 100, 150)",grey,"(170, 170, 170)",78.7,"lose, respectful, apposite, effective, precary, cover","misplace, mislay, turn a loss, fall back, drop off, reverential, venerating, apt, pertinent, effectual"
200,100,200,"(200, 100, 200)",purple,"(180, 50, 255)",77.0,"imaginative, great, gifted, perfectly, free, cheer, brave","inventive, outstanding, bang-up, bully, corking, cracking, endow, indue, gift, empower"
200,100,250,"(200, 100, 250)",purple,"(180, 50, 255)",54.1,"imaginative, great, gifted, perfectly, free, cheer, brave","inventive, outstanding, bang-up, bully, corking, cracking, endow, indue, gift, empower"
200,150,0,"(200, 150, 0)",orange,"(250, 110, 0)",64.0,"hit, blurry, awesome, drop, artesian","hitting, striking, smash, smasher, strike, bleary, blurred, foggy, fuzzy, hazy"
200,150,50,"(200, 150, 50)",orange,"(250, 110, 0)",81.2,"hit, blurry, awesome, drop, artesian","hitting, striking, smash, smasher, strike, bleary, blurred, foggy, fuzzy, hazy"
200,150,100,"(200, 150, 100)",nude,"(250, 180, 120)",61.6,"deft, unextenuable, satisfied, felicitously, approach, jump","dexterous, dextrous, satisfy, fulfill, fulfil, live up to, gratify, attack, plan of attack, approaching"
200,150,150,"(200, 150, 150)",grey,"(170, 170, 170)",41.2,"lose, respectful, apposite, effective, precary, cover","misplace, mislay, turn a loss, fall back, drop off, reverential, venerating, apt, pertinent, effectual"
200,150,200,"(200, 150, 200)",grey,"(170, 170, 170)",46.9,"lose, respectful, apposite, effective, precary, cover","misplace, mislay, turn a loss, fall back, drop off, reverential, venerating, apt, pertinent, effectual"
200,150,250,"(200, 150, 250)",grey,"(170, 170, 170)",87.7,"lose, respectful, apposite, effective, precary, cover","misplace, mislay, turn a loss, fall back, drop off, reverential, venerating, apt, pertinent, effectual"
200,200,0,"(200, 200, 0)",gold,"(250, 200, 0)",50.0,"lotiform, technocracy, preflorating, undepartable, hide, pull","political system, form of government, fell, pelt, skin, conceal, hide out, pulling, clout, wrench"
200,200,50,"(200, 200, 50)",gold,"(250, 200, 0)",70.7,"lotiform, technocracy, preflorating, undepartable, hide, pull","political system, form of government, fell, pelt, skin, conceal, hide out, pulling, clout, wrench"
200,200,100,"(200, 200, 100)",nude,"(250, 180, 120)",57.4,"deft, unextenuable, satisfied, felicitously, approach, jump","dexterous, dextrous, satisfy, fulfill, fulfil, live up to, gratify, attack, plan of attack, approaching"
200,200,150,"(200, 200, 150)",grey,"(170, 170, 170)",46.9,"lose, respectful, apposite, effective, precary, cover","misplace, mislay, turn a loss, fall back, drop off, reverential, venerating, apt, pertinent, effectual"
200,200,200,"(200, 200, 200)",grey,"(170, 170, 170)",52.0,"lose, respectful, apposite, effective, precary, cover","misplace, mislay, turn a loss, fall back, drop off, reverential, venerating, apt, pertinent, effectual"
200,200,250,"(200, 200, 250)",white,"(255, 255, 255)",77.9,"unlavish, hope, analeptical, block","promise, bob hope, leslie townes hope, trust, desire, city block, cube, mental block, pulley, pulley-block"
200,250,0,"(200, 250, 0)",yellow,"(255, 255, 0)",55.2,"structure, plausible, redressible, authority, array, exhilerating","construction, anatomical structure, complex body part, bodily structure, body structure, authorization, authorisation, potency, dominance, say-so"
200,250,50,"(200, 250, 50)",yellow,"(255, 255, 0)",74.5,"structure, plausible, redressible, authority, array, exhilerating","construction, anatomical structure, complex body part, bodily structure, body structure, authorization, authorisation, potency, dominance, say-so"
200,250,100,"(200, 250, 100)",nude,"(250, 180, 120)",88.3,"deft, unextenuable, satisfied, felicitously, approach, jump","dexterous, dextrous, satisfy, fulfill, fulfil, live up to, gratify, attack, plan of attack, approaching"
200,250,150,"(200, 250, 150)",grey,"(170, 170, 170)",87.7,"lose, respectful, apposite, effective, precary, cover","misplace, mislay, turn a loss, fall back, drop off, reverential, venerating, apt, pertinent, effectual"
200,250,200,"(200, 250, 200)",white,"(255, 255, 255)",77.9,"unlavish, hope, analeptical, block","promise, bob hope, leslie townes hope, trust, desire, city block, cube, mental block, pulley, pulley-block"
200,250,250,"(200, 250, 250)",white,"(255, 255, 255)",55.5,"unlavish, hope, analeptical, block","promise, bob hope, leslie townes hope, trust, desire, city block, cube, mental block, pulley, pulley-block"
250,0,0,"(250, 0, 0)",red,"(255, 0, 0)",5.0,"and, cry, apophantic, candid, limit, distinct, radiant","outcry, call, yell, shout, vociferation, blunt, forthright, frank, free-spoken, outspoken"
250,0,50,"(250, 0, 50)",pink,"(250, 0, 90)",40.0,"and, place, ambitious, exquisite, incredibily, category","topographic point, spot, property, stead, position, challenging, keen, recherche, dainty, class"
250,0,100,"(250, 0, 100)",pink,"(250, 0, 90)",10.0,"and, place, ambitious, exquisite, incredibily, category","topographic point, spot, property, stead, position, challenging, keen, recherche, dainty, class"
250,0,150,"(250, 0, 150)",pink,"(250, 0, 90)",60.0,"and, place, ambitious, exquisite, incredibily, category","topographic point, spot, property, stead, position, challenging, keen, recherche, dainty, class"
250,0,200,"(250, 0, 200)",purple,"(180, 50, 255)",102.1,"imaginative, great, gifted, perfectly, free, cheer, brave","inventive, outstanding, bang-up, bully, corking, cracking, endow, indue, gift, empower"
250,0,250,"(250, 0, 250)",purple,"(180, 50, 255)",86.2,"imaginative, great, gifted, perfectly, free, cheer, brave","inventive, outstanding, bang-up, bully, corking, cracking, endow, indue, gift, empower"
250,50,0,"(250, 50, 0)",red,"(255, 0, 0)",50.2,"and, cry, apophantic, candid, limit, distinct, radiant","outcry, call, yell, shout, vociferation, blunt, forthright, frank, free-spoken, outspoken"
250,50,50,"(250, 50, 50)",pink,"(250, 0, 90)",64.0,"and, place, ambitious, exquisite, incredibily, category","topographic point, spot, property, stead, position, challenging, keen, recherche, dainty, class"
250,50,100,"(250, 50, 100)",pink,"(250, 0, 90)",51.0,"and, place, ambitious, exquisite, incredibily, category","topographic point, spot, property, stead, position, challenging, keen, recherche, dainty, class"
250,50,150,"(250, 50, 150)",pink,"(250, 0, 90)",78.1,"and, place, ambitious, exquisite, incredibily, category","topographic point, spot, property, stead, position, challenging, keen, recherche, dainty, class"
250,50,200,"(250, 50, 200)",purple,"(180, 50, 255)",89.0,"imaginative, great, gifted, perfectly, free, cheer, brave","inventive, outstanding, bang-up, bully, corking, cracking, endow, indue, gift, empower"
250,50,250,"(250, 50, 250)",purple,"(180, 50, 255)",70.2,"imaginative, great, gifted, perfectly, free, cheer, brave","inventive, outstanding, bang-up, bully, corking, cracking, endow, indue, gift, empower"
250,100,0,"(250, 100, 0)",orange,"(250, 110, 0)",10.0,"hit, blurry, awesome, drop, artesian","hitting, striking, smash, smasher, strike, bleary, blurred, foggy, fuzzy, hazy"
250,100,50,"(250, 100, 50)",orange,"(250, 110, 0)",51.0,"hit, blurry, awesome, drop, artesian","hitting, striking, smash, smasher, strike, bleary, blurred, foggy, fuzzy, hazy"
250,100,100,"(250, 100, 100)",nude,"(250, 180, 120)",82.5,"deft, unextenuable, satisfied, felicitously, approach, jump","dexterous, dextrous, satisfy, fulfill, fulfil, live up to, gratify, attack, plan of attack, approaching"
250,100,150,"(250, 100, 150)",nude,"(250, 180, 120)",85.4,"deft, unextenuable, satisfied, felicitously, approach, jump","dexterous, dextrous, satisfy, fulfill, fulfil, live up to, gratify, attack, plan of attack, approaching"
250,100,200,"(250, 100, 200)",purple,"(180, 50, 255)",102.1,"imaginative, great, gifted, perfectly, free, cheer, brave","inventive, outstanding, bang-up, bully, corking, cracking, endow, indue, gift, empower"
250,100,250,"(250, 100, 250)",purple,"(180, 50, 255)",86.2,"imaginative, great, gifted, perfectly, free, cheer, brave","inventive, outstanding, bang-up, bully, corking, cracking, endow, indue, gift, empower"
250,150,0,"(250, 150, 0)",orange,"(250, 110, 0)",40.0,"hit, blurry, awesome, drop, artesian","hitting, striking, smash, smasher, strike, bleary, blurred, foggy, fuzzy, hazy"
250,150,50,"(250, 150, 50)",orange,"(250, 110, 0)",64.0,"hit, blurry, awesome, drop, artesian","hitting, striking, smash, smasher, strike, bleary, blurred, foggy, fuzzy, hazy"
250,150,100,"(250, 150, 100)",nude,"(250, 180, 120)",36.1,"deft, unextenuable, satisfied, felicitously, approach, jump","dexterous, dextrous, satisfy, fulfill, fulfil, live up to, gratify, attack, plan of attack, approaching"
250,150,150,"(250, 150, 150)",nude,"(250, 180, 120)",42.4,"deft, unextenuable, satisfied, felicitously, approach, jump","dexterous, dextrous, satisfy, fulfill, fulfil, live up to, gratify, attack, plan of attack, approaching"
250,150,200,"(250, 150, 200)",nude,"(250, 180, 120)",85.4,"deft, unextenuable, satisfied, felicitously, approach, jump","dexterous, dextrous, satisfy, fulfill, fulfil, live up to, gratify, attack, plan of attack, approaching"
250,150,250,"(250, 150, 250)",white,"(255, 255, 255)",105.2,"unlavish, hope, analeptical, block","promise, bob hope, leslie townes hope, trust, desire, city block, cube, mental block, pulley, pulley-block"
250,200,0,"(250, 200, 0)",gold,"(250, 200, 0)",0.0,"lotiform, technocracy, preflorating, undepartable, hide, pull","political system, form of government, fell, pelt, skin, conceal, hide out, pulling, clout, wrench"
250,200,50,"(250, 200, 50)",gold,"(250, 200, 0)",50.0,"lotiform, technocracy, preflorating, undepartable, hide, pull","political system, form of government, fell, pelt, skin, conceal, hide out, pulling, clout, wrench"
250,200,100,"(250, 200, 100)",nude,"(250, 180, 120)",28.3,"deft, unextenuable, satisfied, felicitously, approach, jump","dexterous, dextrous, satisfy, fulfill, fulfil, live up to, gratify, attack, plan of attack, approaching"
250,200,150,"(250, 200, 150)",nude,"(250, 180, 120)",36.1,"deft, unextenuable, satisfied, felicitously, approach, jump","dexterous, dextrous, satisfy, fulfill, fulfil, live up to, gratify, attack, plan of attack, approaching"
250,200,200,"(250, 200, 200)",white,"(255, 255, 255)",77.9,"unlavish, hope, analeptical, block","promise, bob hope, leslie townes hope, trust, desire, city block, cube, mental block, pulley, pulley-block"
250,200,250,"(250, 200, 250)",white,"(255, 255, 255)",55.5,"unlavish, hope, analeptical, block","promise, bob hope, leslie townes hope, trust, desire, city block, cube, mental block, pulley, pulley-block"
250,250,0,"(250, 250, 0)",yellow,"(255, 255, 0)",7.1,"structure, plausible, redressible, authority, array, exhilerating","construction, anatomical structure, complex body part, bodily structure, body structure, authorization, authorisation, potency, dominance, say-so"
250,250,50,"(250, 250, 50)",yellow,"(255, 255, 0)",50.5,"structure, plausible, redressible, authority, array, exhilerating","construction, anatomical structure, complex body part, bodily structure, body structure, authorization, authorisation, potency, dominance, say-so"
250,250,100,"(250, 250, 100)",nude,"(250, 180, 120)",72.8,"deft, unextenuable, satisfied, felicitously, approach, jump","dexterous, dextrous, satisfy, fulfill, fulfil, live up to, gratify, attack, plan of attack, approaching"
250,250,150,"(250, 250, 150)",nude,"(250, 180, 120)",76.2,"deft, unextenuable, satisfied, felicitously, approach, jump","dexterous, dextrous, satisfy, fulfill, fulfil, live up to, gratify, attack, plan of attack, approaching"
250,250,200,"(250, 250, 200)",white,"(255, 255, 255)",55.5,"unlavish, hope, analeptical, block","promise, bob hope, leslie townes hope, trust, desire, city block, cube, mental block, pulley, pulley-block"
250,250,250,"(250, 250, 250)",white,"(255, 255, 255)",8.7,"unlavish, hope, analeptical, block","promise, bob hope, leslie townes hope, trust, desire, city block, cube, mental block, pulley, pulley-block"
